Row Labels,Sum of Billing Amount
Abbott Inc,48758.33
Abbott LLC,20865.41
Adams Inc,16481.92
Adams Ltd,41888.54
"Adams, Smith and Coffey",2418.71
Adams-Garcia,2214.98
Adkins PLC,22413.85
"Adkins, Pierce and Greer",38445.03
Aguilar PLC,14201.58
Alexander-Garza,4993.6
Allen LLC,21672.2
Allen-Flynn,18745.38
"Allison, Ward and Bentley",33675.2
"Allison, White and Perez",17135.01
Alvarado Inc,25366.42
Alvarado-Garrison,45730.22
Alvarado-Miller,6725.26
Anderson and Sons,7562.81
Anderson Ltd,31037.82
"Anderson, Elliott and Smith",40435.04
"Anderson, Hill and Conner",22398.88
"Anderson, Lee and York",27342.82
"Anderson, Lowe and Mcintosh",40608
"Anderson, Wilcox and Ware",33030.48
"Anderson, Williams and Foster",16413.4
Anderson-Barnes,2874.6
Anderson-Frank,42960.55
Anderson-Moore,49860.91
Anderson-Nelson,33967.29
Anderson-Williams,4932.25
Anderson-Williamson,25589.16
Andrade-Young,30936.77
Anthony-Benton,37859.52
Archer Group,12845.16
"Arroyo, Barnett and Charles",25493.06
Atkinson-Ryan,40466.06
"Austin, Butler and Lowe",47686.68
Austin-Wheeler,4125.83
Ayers-Jackson,23464.44
Bailey and Sons,31719.72
Bailey Ltd,22256.15
Bailey-Esparza,19188.63
"Barnes, Stevens and King",44275.5
Barnes-Roberts,13367.54
Barry-Hill,29214.66
"Bass, Hunt and Taylor",26631.51
"Bass, Newman and Sharp",27025.73
Bates Group,43961.01
"Bates, Daugherty and Franco",13816.52
"Bates, Lopez and Norton",5293.79
Bautista-Hicks,4009.47
Beck Group,47314.22
Bell and Sons,9438.15
Bell Ltd,31654.61
Bell PLC,44963.2
Bender Ltd,10348.43
Benitez Ltd,24600.93
Bennett Group,33813.44
Bennett LLC,6412.74
Bennett PLC,32090.45
"Bennett, Hunter and Gates",11275.92
"Bennett, Perez and Davis",22065.77
Bennett-Sawyer,32470.79
Benson Group,49937.44
Berg Group,47824.68
Bird LLC,18094.96
Bishop Ltd,14291.64
"Bishop, Diaz and Dunn",33836.99
Black LLC,40477.75
"Black, Miller and Mercer",10167.83
"Blair, Sanchez and Ingram",28537.09
Blanchard and Sons,7056.16
Blevins-Allen,25961.33
Bowen-Houston,18238.72
Bowman-Jones,36211.31
Boyd Group,15600.09
Boyd LLC,32714.95
Bradley Group,24054.54
Bradshaw-Garcia,7009.23
Braun Inc,37344.18
Brewer Group,36534.15
Bright and Sons,17912.01
"Brock, Newton and Lopez",37239.5
Brown Inc,21254
Brown Ltd,27166.55
Brown PLC,2998.79
"Brown, Knight and Gallegos",14245.98
Brown-Cain,34918.32
Brown-Flynn,29592.64
Brown-Le,48518.76
Brown-Shaw,45629.42
Bruce Inc,9881.77
Bryan-Davidson,43347.82
Bryant and Sons,11359.44
"Bryant, Escobar and Hartman",8729.59
"Bryant, Smith and Short",8000.71
Bryant-Dickson,33677.75
Bryant-Fox,20434.97
Buchanan and Sons,23606.01
Buchanan Group,5232.89
Buchanan-Hicks,3987.97
Buck Inc,21264.41
Bullock-Smith,49480.78
Burgess and Sons,19164.54
Burgess-Adams,10262.03
Burke LLC,6529.43
"Burke, Young and Mason",33906.45
Burke-Frederick,4147.21
"Burton, Lopez and Wheeler",20547.6
Burton-Taylor,11692.24
Bush LLC,43601.37
"Bush, Sawyer and Walsh",17753.73
Bush-Webb,13555.95
"Butler, Clark and Grant",43091.59
Calderon PLC,12608.3
Calhoun Group,7857.97
Cameron Group,17064.5
Cameron-Berry,16665.77
Campbell LLC,13868.63
"Campbell, Anderson and Barber",42930.3
"Campbell, Stark and Wood",22470.13
Campbell-Mcdaniel,3219.2
"Campos, Blankenship and Jones",3140.93
Campos-Black,10220
Cannon-Kline,8396.91
Carpenter and Sons,22582.71
Carpenter LLC,47803.25
"Carrillo, Bray and Robbins",32271.34
Carr-Marquez,3432.14
Carroll and Sons,19118.57
"Carroll, Blair and Vazquez",24861.6
"Carroll, Torres and Holder",49275.85
"Carter, Joyce and Chandler",11936.07
"Carter, West and Nelson",38392.95
Carter-Hansen,1770.86
Carter-Roth,49600.07
Casey-Roberts,33468
Castillo and Sons,13500.69
"Castillo, Arias and Krueger",26913.28
"Castillo, Robbins and Wallace",12408.29
Castillo-Moore,8535
